Kp: 0.4
Ki: 0
Kd: 0
tau: 0.01
limMin: -0.8
limMax: 0.8
intLimMin: -0.25
intLimMax: 0.25
setpoint: 219.191
t;error;out
8.96924;2.24023;0.8
9.00482;2.20927;0.8
9.04694;2.17207;0.8
9.08133;2.14133;0.8
9.11639;2.10963;0.8
9.14935;2.07954;0.8
9.1832;2.04831;0.8
9.21631;2.01749;0.8
9.25238;1.98346;0.793384
9.28775;1.94986;0.779944
9.32117;1.91774;0.767096
9.35568;1.88428;0.753711
9.38812;1.85263;0.741052
9.41913;1.82213;0.728851
9.45081;1.79071;0.716284
9.48306;1.75841;0.703363
9.51718;1.72392;0.689569
9.55362;1.68677;0.674707
9.58966;1.64972;0.659888
9.62161;1.61668;0.646674
9.65381;1.58321;0.633282
9.68591;1.54959;0.619836
9.71793;1.51587;0.606348
9.75073;1.48111;0.592444
9.78253;1.44725;0.5789
9.81555;1.41185;0.56474
9.84891;1.37592;0.550366
9.88113;1.34108;0.536432
9.91638;1.30276;0.521106
9.95435;1.26125;0.504498
9.99088;1.22118;0.48847
10.0268;1.18156;0.472626
10.0612;1.14366;0.457465
10.0951;1.10625;0.442499
10.1483;1.04689;0.418756
10.1883;1.00243;0.40097
10.2097;0.9785;0.3914
10.2362;0.949005;0.379602
10.2715;0.909744;0.363898
10.3055;0.87204;0.348816
10.3384;0.835678;0.334271
10.3708;0.79985;0.31994
10.4042;0.763046;0.305219
10.4365;0.727493;0.290997
10.4693;0.691635;0.276654
10.5156;0.640427;0.256171
10.5386;0.615448;0.246179
10.5776;0.57338;0.229352
10.6136;0.534988;0.213995
10.6493;0.49704;0.198816
10.6833;0.461227;0.184491
10.7149;0.428299;0.17132
10.7461;0.396149;0.158459
10.7792;0.362289;0.144916
10.8132;0.32782;0.131128
10.8458;0.295166;0.118066
10.8802;0.261246;0.104498
10.9135;0.22876;0.0915039
10.9496;0.194107;0.0776428
10.9841;0.16156;0.064624
11.0185;0.129654;0.0518616
11.0526;0.0986328;0.0394531
11.0868;0.0680695;0.0272278
11.1209;0.0381622;0.0152649
11.1541;0.00970459;0.00388184
11.1868;-0.0176697;-0.00706787
11.2195;-0.0444489;-0.0177795
11.2512;-0.0697784;-0.0279114
11.2846;-0.0958099;-0.038324
11.3183;-0.121338;-0.0485352
11.3528;-0.146698;-0.0586792
11.3867;-0.170746;-0.0682983
11.4207;-0.194183;-0.0776733
11.4537;-0.216125;-0.0864502
11.4877;-0.237976;-0.0951904
11.5209;-0.258438;-0.103375
11.5537;-0.277847;-0.111139
11.5918;-0.299454;-0.119781
11.6248;-0.3172;-0.12688
11.6594;-0.335007;-0.134003
11.6946;-0.352127;-0.140851
11.7299;-0.368271;-0.147308
11.7665;-0.383957;-0.153583
11.801;-0.397781;-0.159113
11.8375;-0.411392;-0.164557
11.8722;-0.423294;-0.169318
11.9069;-0.434189;-0.173676
11.9418;-0.444199;-0.177679
11.9762;-0.453125;-0.18125
12.0114;-0.461273;-0.184509
12.0462;-0.468338;-0.187335
12.0803;-0.474274;-0.189709
12.1141;-0.479233;-0.191693
12.1478;-0.4832;-0.19328
12.1818;-0.486252;-0.194501
12.2171;-0.488419;-0.195367
12.251;-0.489578;-0.195831
12.2861;-0.489777;-0.195911
12.3199;-0.489044;-0.195618
12.3552;-0.487289;-0.194916
12.3896;-0.484619;-0.193848
12.4243;-0.481033;-0.192413
12.4585;-0.476593;-0.190637
12.4926;-0.471207;-0.188483
12.5279;-0.464722;-0.185889
12.5631;-0.457306;-0.182922
12.5987;-0.448807;-0.179523
12.6331;-0.439819;-0.175928
12.6685;-0.42952;-0.171808
12.7036;-0.418518;-0.167407
12.7395;-0.406342;-0.162537
12.773;-0.394104;-0.157642
12.8075;-0.380722;-0.152289
12.8427;-0.366211;-0.146484
12.8779;-0.350906;-0.140363
12.9114;-0.335587;-0.134235
12.9464;-0.318817;-0.127527
12.9798;-0.302063;-0.120825
13.0151;-0.283554;-0.113422
13.0501;-0.264481;-0.105792
13.0858;-0.244217;-0.0976868
13.119;-0.224762;-0.0899048
13.1541;-0.203491;-0.0813965
13.1899;-0.18103;-0.0724121
13.225;-0.158371;-0.0633484
13.259;-0.135742;-0.0542969
13.2941;-0.111755;-0.0447021
13.3288;-0.0874023;-0.0349609
13.3625;-0.0632019;-0.0252808
13.3974;-0.0374756;-0.0149902
13.4308;-0.0123138;-0.00492554
13.465;0.0139771;0.00559082
13.4984;0.0402527;0.0161011
13.5324;0.0674438;0.0269775
13.5665;0.0952606;0.0381042
13.5904;0.115097;0.0460388
13.6141;0.135056;0.0540222
13.652;0.167404;0.0669617
13.6883;0.198837;0.0795349
13.7248;0.231018;0.0924072
13.7589;0.261536;0.104614
13.7906;0.290268;0.116107
13.8237;0.320648;0.128259
13.8591;0.353653;0.141461
13.8956;0.388046;0.155219
13.9339;0.424698;0.169879
13.9708;0.460434;0.184174
14.0071;0.496078;0.198431
14.043;0.531616;0.212646
14.0825;0.571289;0.228516
14.12;0.609329;0.243732
14.1575;0.647659;0.259064
14.1781;0.6689;0.26756
14.2003;0.692017;0.276807
14.2335;0.726639;0.290656
14.2668;0.761612;0.304645
14.3003;0.796951;0.318781
14.3346;0.833527;0.333411
14.3661;0.867249;0.346899
14.3988;0.902679;0.361072
14.4314;0.937988;0.375195
14.464;0.973495;0.389398
14.4961;1.00877;0.40351
14.5291;1.0452;0.418079
14.5603;1.07977;0.431909
14.5947;1.11812;0.447247
14.6306;1.15833;0.46333
14.6673;1.19957;0.479828
14.7043;1.24138;0.496552
14.7395;1.28127;0.512506
14.7758;1.32248;0.528992
14.8101;1.36143;0.544574
14.8303;1.38457;0.553827
14.8673;1.42679;0.570715
14.9021;1.46646;0.586585
14.9362;1.50546;0.602185
14.9718;1.54607;0.618427
15.0083;1.58777;0.635107
15.0428;1.62721;0.650885
15.0783;1.6678;0.66712
15.1204;1.71591;0.686365
15.1536;1.75359;0.701434
15.1885;1.79324;0.717297
15.2216;1.83052;0.732208
15.2552;1.86839;0.747357
15.2882;1.90544;0.762177
15.3214;1.94254;0.777014
15.3549;1.97981;0.791925
15.3878;2.01627;0.8
15.4222;2.05414;0.8
15.4569;2.09207;0.8
15.4896;2.12759;0.8
15.5229;2.1636;0.8
15.5561;2.19916;0.8
15.5893;2.23456;0.8
15.622;2.26915;0.8
15.6596;2.30859;0.8
15.6948;2.34503;0.8
15.727;2.3781;0.8
15.7587;2.41042;0.8
15.7907;2.44264;0.8
15.8226;2.47443;0.8
15.8548;2.50612;0.8
15.8864;2.53687;0.8
15.9198;2.56908;0.8
15.952;2.59979;0.8
15.9842;2.63004;0.8
16.0203;2.66356;0.8
16.0533;2.69374;0.8
16.0865;2.72356;0.8
16.1193;2.75266;0.8
16.1505;2.77983;0.8
16.1817;2.80659;0.8
16.215;2.83479;0.8
16.254;2.86716;0.8
16.2887;2.8954;0.8
16.3235;2.92319;0.8
16.3604;2.95195;0.8
16.3982;2.98087;0.8
16.4343;3.00786;0.8
16.4695;3.03349;0.8
16.5074;3.06033;0.8
16.5495;3.08946;0.8
16.5823;3.11137;0.8
16.6153;3.133;0.8
16.6475;3.15353;0.8
16.6803;3.17387;0.8
16.7123;3.19313;0.8
16.7455;3.21265;0.8
16.783;3.23389;0.8
16.8145;3.25119;0.8
16.8477;3.26888;0.8
16.8795;3.28514;0.8
16.9125;3.30148;0.8
16.9445;3.3168;0.8
16.9764;3.3315;0.8
17.009;3.3459;0.8
17.0421;3.35992;0.8
17.0747;3.37314;0.8
17.1072;3.3858;0.8
17.139;3.39757;0.8
17.1715;3.40903;0.8
17.2042;3.41992;0.8
17.2365;3.4301;0.8
17.2691;3.43974;0.8
17.3018;3.44888;0.8
17.3307;3.45647;0.8
17.3643;3.46469;0.8
17.3952;3.47166;0.8
17.43;3.47888;0.8
17.4627;3.48505;0.8
17.4955;3.49063;0.8
17.5276;3.49551;0.8
17.5604;3.49989;0.8
17.5922;3.50356;0.8
17.6262;3.50685;0.8
17.6648;3.50981;0.8
17.7005;3.51183;0.8
17.7316;3.51299;0.8
17.7646;3.51363;0.8
17.7971;3.51369;0.8
17.83;3.51317;0.8
17.8632;3.51195;0.8
17.8957;3.51024;0.8
17.9291;3.50786;0.8
17.9622;3.50488;0.8
17.9943;3.50143;0.8
18.0272;3.4973;0.8
18.0615;3.49245;0.8
18.0934;3.48734;0.8
18.1255;3.48167;0.8
18.1582;3.4753;0.8
18.19;3.46852;0.8
18.2219;3.46129;0.8
18.2535;3.45357;0.8
18.287;3.44482;0.8
18.3197;3.43573;0.8
18.3521;3.42621;0.8
18.3842;3.41617;0.8
18.4176;3.4052;0.8
18.4509;3.39369;0.8
18.4851;3.38135;0.8
18.5186;3.36867;0.8
18.5514;3.35574;0.8
18.5835;3.34259;0.8
18.6149;3.3293;0.8
18.647;3.31519;0.8
18.6801;3.30008;0.8
18.7119;3.28506;0.8
18.7457;3.26862;0.8
18.7796;3.25162;0.8
18.8116;3.23511;0.8
18.844;3.21794;0.8
18.8763;3.20036;0.8
18.9099;3.18149;0.8
18.9432;3.16234;0.8
18.975;3.14363;0.8
19.0084;3.12349;0.8
19.0418;3.10286;0.8
19.0743;3.08238;0.8
19.1063;3.06181;0.8
19.1395;3.03998;0.8
19.1714;3.01852;0.8
19.2029;2.99698;0.8
19.2349;2.97464;0.8
19.2669;2.95193;0.8
19.2999;2.92804;0.8
19.3333;2.90347;0.8
19.3658;2.87914;0.8
19.3983;2.85443;0.8
19.4315;2.82874;0.8
19.4647;2.80264;0.8
19.4977;2.77632;0.8
19.5319;2.74858;0.8
19.567;2.71973;0.8
19.5988;2.69334;0.8
19.6319;2.66534;0.8
19.664;2.63788;0.8
19.6841;2.62048;0.8
19.7214;2.58783;0.8
19.7535;2.55945;0.8
19.7856;2.53067;0.8
19.8185;2.50089;0.8
19.8518;2.47034;0.8
19.8853;2.43916;0.8
